,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,Ukhta,63.5671,53.6835,11.44,95,100,9.82,RU,1612053861
328,Çeşme,38.3228,26.3064,42.8,93,0,2.3,TR,1612053723
329,Venado Tuerto,-33.7456,-61.9688,64.0,93,100,7.0,AR,1612053862
330,Salinas,36.6777,-121.6555,57.2,67,90,11.5,US,1612053724
331,Kathmandu,27.7167,85.3167,37.4,93,20,3.44,NP,1612053856
332,Zhigansk,66.7697,123.3711,-48.64,74,59,3.69,RU,1612053862
333,Mount Gambier,-37.8333,140.7667,64.4,59,75,8.05,AU,1612053862
334,La Macarena,2.1837,-73.7849,76.86,61,5,2.77,CO,1612053862
335,Bétaré Oya,5.6,14.0833,64.76,35,0,1.9,CM,1612053862
336,Saldanha,-33.0117,17.9442,63.68,93,0,1.54,ZA,1612053862
337,Ahipara,-35.1667,173.1667,72.28,49,0,5.99,NZ,1612053863
338,Laguna,38.421,-121.4238,59.0,51,1,4.61,US,1612053863
339,Mali Zvornik,44.3734,19.1065,41.0,87,40,2.3,RS,1612053863
340,Hasaki,35.7333,140.8333,42.8,42,20,11.5,JP,1612053863
341,Williamsburg,37.2707,-76.7075,35.6,64,1,3.85,US,1612053863
342,Staraya Russa,57.9944,31.3608,20.03,97,80,5.3,RU,1612053863
343,Kirksville,40.1948,-92.5833,35.01,100,90,11.5,US,1612053863
344,Veshenskaya,49.6303,41.7334,33.03,94,82,12.97,RU,1612053863
345,Matagami,49.7502,-77.6328,-2.2,84,90,5.75,CA,1612053863
346,Wanaka,-44.7,169.15,70.5,36,17,5.99,NZ,1612053863
347,Felanitx,39.4696,3.1483,57.2,58,20,10.36,ES,1612053864
348,Texarkana,33.4251,-94.0477,62.6,82,40,10.36,US,1612053864
349,Samfya,-11.3649,29.5565,66.58,92,100,1.36,ZM,1612053864
350,Pyaozerskiy,65.8333,31.1667,10.33,95,100,5.39,RU,1612053864
